,precision,recall,f1-score,support
0,0.9703855885243502,0.9630953616270623,0.9667267311057411,192740.0
1,0.9645507418279318,0.971561958786175,0.9680436554977017,199205.0
accuracy,0.9673984870326193,0.9673984870326193,0.9673984870326193,0.9673984870326193
macro avg,0.967468165176141,0.9673286602066187,0.9673851933017215,391945.0
weighted avg,0.9674200432663165,0.9673984870326193,0.9673960544125839,391945.0
