,precision,recall,f1-score,support
0,0.9728923219824158,0.945569160527135,0.9590361699384582,192740.0
1,0.9487288508342374,0.974508671971085,0.9614459800457131,199205.0
accuracy,0.9602775899679802,0.9602775899679802,0.9602775899679802,0.9602775899679802
macro avg,0.9608105864083266,0.9600389162491101,0.9602410749920857,391945.0
weighted avg,0.9606113022728319,0.9602775899679802,0.9602609494927725,391945.0
