,precision,recall,f1-score,support
0,0.9713061144972308,0.9053647400643354,0.9371769223539521,192740.0
1,0.9140797965047812,0.9741221354885671,0.9431463322762124,199205.0
accuracy,0.9403105027491102,0.9403105027491102,0.9403105027491102,0.9403105027491102
macro avg,0.942692955501006,0.9397434377764513,0.9401616273150822,391945.0
weighted avg,0.942220991136336,0.9403105027491102,0.9402108590123197,391945.0
