[+] A iniciar stress write Modbus FC6 contra 172.27.224.250:502 (UnitID=1, Reg=6)...
[!] Stress write FC6 no registo 6, valor base 10
[2025-10-06 20:46:26] TID 77 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:26] TID 78 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:26] TID 79 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:27] TID 80 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:27] TID 81 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:27] TID 82 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:27] TID 83 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:27] TID 84 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:27] TID 85 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:27] TID 86 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:27] TID 87 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:27] TID 88 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:28] TID 89 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:28] TID 90 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:28] TID 91 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:28] TID 92 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:28] TID 93 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:28] TID 94 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:28] TID 95 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:28] TID 96 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:28] TID 97 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:28] TID 98 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:29] TID 99 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:29] TID 100 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:29] TID 101 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:29] TID 102 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:29] TID 103 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:29] TID 104 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:29] TID 105 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:29] TID 106 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:29] TID 107 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:29] TID 108 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:30] TID 109 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:30] TID 110 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:30] TID 111 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:30] TID 112 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:30] TID 113 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:30] TID 114 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:30] TID 115 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:30] TID 116 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:30] TID 117 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:30] TID 118 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:31] TID 119 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:31] TID 120 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:31] TID 121 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:31] TID 122 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:31] TID 123 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:31] TID 124 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:31] TID 125 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:31] TID 126 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:31] TID 127 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:31] TID 128 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:32] TID 129 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:32] TID 130 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:32] TID 131 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:32] TID 132 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:32] TID 133 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:32] TID 134 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:32] TID 135 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:32] TID 136 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:32] TID 137 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:32] TID 138 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:33] TID 139 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:33] TID 140 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:33] TID 141 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:33] TID 142 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:33] TID 143 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:33] TID 144 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:33] TID 145 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:33] TID 146 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:33] TID 147 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:33] TID 148 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:34] TID 149 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:34] TID 150 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:34] TID 151 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:34] TID 152 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:34] TID 153 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:34] TID 154 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:34] TID 155 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:34] TID 156 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:34] TID 157 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:34] TID 158 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:35] TID 159 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:35] TID 160 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:35] TID 161 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:35] TID 162 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:35] TID 163 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:35] TID 164 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:35] TID 165 | Valor enviado: 20 | Valor recebido: 20
