timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,function_code,unit_id,protocol_id,flags,length,transaction_id,payload,malicious
2025-10-02 21:09:32.893215,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:32.937632,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:33.093271,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:33.226220,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:33.226220,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:33.435904,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:33.492634,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1473,00060023,0
2025-10-02 21:09:33.492884,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1473,00060023,0
2025-10-02 21:09:33.493119,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:33.534071,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:33.534730,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:33.739368,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:33.767594,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1812,0000000a,0
2025-10-02 21:09:33.850080,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:33.850584,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:33.969889,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:34.060358,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:34.156140,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:34.156231,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:34.356970,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:34.467975,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:34.468364,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:34.483738,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1474,00060024,0
2025-10-02 21:09:34.483991,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1474,00060024,0
2025-10-02 21:09:34.484268,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:34.684985,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:34.786718,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:34.786718,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:34.794987,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1813,0000000a,0
2025-10-02 21:09:34.997225,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:34.997225,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:35.107337,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:35.107425,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:35.323821,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:35.419363,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:35.419590,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:35.476779,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1475,00060024,0
2025-10-02 21:09:35.476965,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1475,00060024,0
2025-10-02 21:09:35.477142,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:35.620663,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:35.733774,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:35.734086,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:35.823904,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1814,0000000a,0
2025-10-02 21:09:35.932999,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:36.028056,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:36.043064,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:36.043170,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:36.259876,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:36.355647,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:36.355906,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000240000000000000000,0
2025-10-02 21:09:36.471363,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1476,00060023,0
2025-10-02 21:09:36.471364,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1476,00060023,0
2025-10-02 21:09:36.471754,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:36.557184,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:36.671118,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:36.671118,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:36.852793,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1815,0000000a,0
2025-10-02 21:09:36.868948,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:36.995923,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:36.996150,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:37.056094,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:37.195689,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:37.305759,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:37.305979,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:37.467488,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1477,00060022,0
2025-10-02 21:09:37.467799,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1477,00060022,0
2025-10-02 21:09:37.467799,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:37.507996,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:37.619354,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:37.619718,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000220000000000000000,0
2025-10-02 21:09:37.835776,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:37.881912,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1816,0000000a,0
2025-10-02 21:09:37.948576,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:37.949234,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000220000000000000000,0
2025-10-02 21:09:38.082457,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:38.162893,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:38.257675,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:38.257675,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000220000000000000000,0
2025-10-02 21:09:38.463482,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1478,00060023,0
2025-10-02 21:09:38.463482,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1478,00060023,0
2025-10-02 21:09:38.463562,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:38.476069,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:38.571746,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:38.572387,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:38.771521,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:38.898358,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:38.898830,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:38.912228,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1817,0000000a,0
2025-10-02 21:09:39.113573,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:39.114656,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:39.210045,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:39.210195,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:39.426464,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:39.461827,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1479,00060023,0
2025-10-02 21:09:39.462541,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1479,00060023,0
2025-10-02 21:09:39.462541,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:39.525857,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:39.525857,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:39.725574,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:39.836592,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:39.836592,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:39.942692,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49182,172.27.224.250,502,3,1,0,0x0018,66,1818,0000000a,0
2025-10-02 21:09:40.034807,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:40.142153,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49182,,,,0x0010,60,,,0
2025-10-02 21:09:40.145445,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:40.145636,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:40.346834,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:40.458066,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:40.458161,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
2025-10-02 21:09:40.460221,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,6,1,0,0x0018,78,1480,00060023,0
2025-10-02 21:09:40.460221,00:0c:29:aa:8f:05,00:0c:29:4d:00:11,172.27.224.250,502,172.27.224.251,36780,6,1,0,0x0018,78,1480,00060023,0
2025-10-02 21:09:40.460411,00:0c:29:4d:00:11,00:0c:29:aa:8f:05,172.27.224.251,36780,172.27.224.250,502,,,,0x0010,66,,,0
2025-10-02 21:09:40.676064,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,,,,0x0010,60,,,0
2025-10-02 21:09:40.775196,00:0c:29:84:18:6e,00:0c:29:aa:8f:05,172.27.224.10,49192,172.27.224.250,502,3,1,0,0x0018,66,0,0000000b,0
2025-10-02 21:09:40.775196,00:0c:29:aa:8f:05,00:0c:29:84:18:6e,172.27.224.250,502,172.27.224.10,49192,3,1,0,0x0018,85,0,1600000000000000000000000000230000000000000000,0
